name,street,subarea,area,city,province,Address
Marhaba Bakers & Nimco,Allama Rasheed Turabi Road,Block N,North Nazimabad,Karachi,Sindh,Marhaba Bakers & Nimco Allama Rasheed Turabi Road Block N North Nazimabad Karachi Sindh
Madrassa Usman Bin Affan,Shahrah e Noor Jahan,Block A,North Nazimabad,Karachi,Sindh,Madrassa Usman Bin Affan Shahrah e Noor Jahan Block A North Nazimabad Karachi Sindh
Abdullah General Store,University Road,Sector 38 A,Gulzar e Hijri Scheme 33,Karachi,Sindh,Abdullah General Store University Road Sector 38 A Gulzar e Hijri Scheme 33 Karachi Sindh
Noor E Syed Medical Store,Dr Sohail Haider Street,Block 19,Federal B Area (Gulberg),Karachi,Sindh,Noor E Syed Medical Store Dr Sohail Haider Street Block 19 Federal B Area (Gulberg) Karachi Sindh
Bismillah Enterprises & Marketing,Muhammad Hassan Road,Block N,North Nazimabad,Karachi,Sindh,Bismillah Enterprises & Marketing Muhammad Hassan Road Block N North Nazimabad Karachi Sindh
City Glass,Faizan Street,Block E,North Nazimabad,Karachi,Sindh,City Glass Faizan Street Block E North Nazimabad Karachi Sindh
Jama Madina Masjid,Shahrah e Faisal Link Road,Habibaabad,Quaidabad,Karachi,Sindh,Jama Madina Masjid Shahrah e Faisal Link Road Habibaabad Quaidabad Karachi Sindh
Zerrigar Beauty Parlor,Shahrah e Shershah Suri,Block A,North Nazimabad,Karachi,Sindh,Zerrigar Beauty Parlor Shahrah e Shershah Suri Block A North Nazimabad Karachi Sindh
Al Saif Hardware Store,Shahrah e Muhammad Tufail,Block 13,Federal B Area (Gulberg),Karachi,Sindh,Al Saif Hardware Store Shahrah e Muhammad Tufail Block 13 Federal B Area (Gulberg) Karachi Sindh
Naeem Engineering Concerns,Shahrah E Zahid Hussain Road,Sector 15 B,Buffer Zone,Karachi,Sindh,Naeem Engineering Concerns Shahrah E Zahid Hussain Road Sector 15 B Buffer Zone Karachi Sindh
