name,street,subarea,area,city,province,Address
Marhaba Bakers & Nimco,Allama Rasheed Turabi Road,Block N,North Nazimabad,Karachi,Sindh,Marhaba Bakers & Nimco Allama Rasheed Turabi Road Block N North Nazimabad Karachi Sindh
Madrassa Usman Bin Affan,Shahrah e Noor Jahan,Block A,North Nazimabad,Karachi,Sindh,Madrassa Usman Bin Affan Shahrah e Noor Jahan Block A North Nazimabad Karachi Sindh
Abdullah General Store,University Road,Sector 38 A,Gulzar e Hijri Scheme 33,Karachi,Sindh,Abdullah General Store University Road Sector 38 A Gulzar e Hijri Scheme 33 Karachi Sindh
Noor E Syed Medical Store,Dr Sohail Haider Street,Block 19,Federal B Area (Gulberg),Karachi,Sindh,Noor E Syed Medical Store Dr Sohail Haider Street Block 19 Federal B Area (Gulberg) Karachi Sindh
Bismillah Enterprises & Marketing,Muhammad Hassan Road,Block N,North Nazimabad,Karachi,Sindh,Bismillah Enterprises & Marketing Muhammad Hassan Road Block N North Nazimabad Karachi Sindh
City Glass,Faizan Street,Block E,North Nazimabad,Karachi,Sindh,City Glass Faizan Street Block E North Nazimabad Karachi Sindh
Jama Madina Masjid,Shahrah e Faisal Link Road,Habibaabad,Quaidabad,Karachi,Sindh,Jama Madina Masjid Shahrah e Faisal Link Road Habibaabad Quaidabad Karachi Sindh
Zerrigar Beauty Parlor,Shahrah e Shershah Suri,Block A,North Nazimabad,Karachi,Sindh,Zerrigar Beauty Parlor Shahrah e Shershah Suri Block A North Nazimabad Karachi Sindh
Al Saif Hardware Store,Shahrah e Muhammad Tufail,Block 13,Federal B Area (Gulberg),Karachi,Sindh,Al Saif Hardware Store Shahrah e Muhammad Tufail Block 13 Federal B Area (Gulberg) Karachi Sindh
Naeem Engineering Concerns,Shahrah E Zahid Hussain Road,Sector 15 B,Buffer Zone,Karachi,Sindh,Naeem Engineering Concerns Shahrah E Zahid Hussain Road Sector 15 B Buffer Zone Karachi Sindh
Quetta Al Hammas Hotel,Shahrah E Azeem Ahmad Khan,Block 13,Federal B Area (Gulberg),Karachi,Sindh,Quetta Al Hammas Hotel Shahrah E Azeem Ahmad Khan Block 13 Federal B Area (Gulberg) Karachi Sindh
Al Rehman Traders & General Store,Ancholi Main Road,Block 17,Federal B Area (Gulberg),Karachi,Sindh,Al Rehman Traders & General Store Ancholi Main Road Block 17 Federal B Area (Gulberg) Karachi Sindh
Mashallah Chicken Center,Khursheed Begum Road,Saudabad S1,Saudabad,Karachi,Sindh,Mashallah Chicken Center Khursheed Begum Road Saudabad S1 Saudabad Karachi Sindh
Saint Dominics High School,Malir City Road,Darakhshan CHS,Kala Board,Karachi,Sindh,Saint Dominics High School Malir City Road Darakhshan CHS Kala Board Karachi Sindh
Al Tayyab Drink Water,Muhammad Abdullah Naeemi Road,F South,Jafar e Tayyar,Karachi,Sindh,Al Tayyab Drink Water Muhammad Abdullah Naeemi Road F South Jafar e Tayyar Karachi Sindh
Bismillah General Store,Gulshan e Harooni Street,Saudabad S1,Saudabad,Karachi,Sindh,Bismillah General Store Gulshan e Harooni Street Saudabad S1 Saudabad Karachi Sindh
Shamim Plaza,Shahrah e Humayun,Block 3,Federal B Area (Gulberg),Karachi,Sindh,Shamim Plaza Shahrah e Humayun Block 3 Federal B Area (Gulberg) Karachi Sindh
Khurram Electronics,Ghaus Al Azam Road,Sector 15 A 1,Buffer Zone,Karachi,Sindh,Khurram Electronics Ghaus Al Azam Road Sector 15 A 1 Buffer Zone Karachi Sindh
Khubsurat General Store,Shahrah e Zahid,Sector 15 A 4,Buffer Zone,Karachi,Sindh,Khubsurat General Store Shahrah e Zahid Sector 15 A 4 Buffer Zone Karachi Sindh
Al Mansoor Autos,Muhammad Hassan Road,Block N,North Nazimabad,Karachi,Sindh,Al Mansoor Autos Muhammad Hassan Road Block N North Nazimabad Karachi Sindh
Ghulam e Rasool General Store,Maarif Street,Block H,North Nazimabad,Karachi,Sindh,Ghulam e Rasool General Store Maarif Street Block H North Nazimabad Karachi Sindh
Sheikh Chilli Restaurant,Tariq Bin Ziyad Road,Block G,North Nazimabad,Karachi,Sindh,Sheikh Chilli Restaurant Tariq Bin Ziyad Road Block G North Nazimabad Karachi Sindh
Barkat General Store,Qari Zaheer Qasmi Road,Block G,North Nazimabad,Karachi,Sindh,Barkat General Store Qari Zaheer Qasmi Road Block G North Nazimabad Karachi Sindh
Exide Battery Center,Zafar Iqbal Shaheed Road,Block 9,Federal B Area (Gulberg),Karachi,Sindh,Exide Battery Center Zafar Iqbal Shaheed Road Block 9 Federal B Area (Gulberg) Karachi Sindh
Noorani Rice,49th Street,Block 3,Federal B Area (Gulberg),Karachi,Sindh,Noorani Rice 49th Street Block 3 Federal B Area (Gulberg) Karachi Sindh
Al Hamd Collegiate Coaching,Landhi Road,Sector 33 A,Korangi,Karachi,Sindh,Al Hamd Collegiate Coaching Landhi Road Sector 33 A Korangi Karachi Sindh
Agawam Autos & Spare Parts,Korangi Road,Bhittai Colony,Korangi Creek,Karachi,Sindh,Agawam Autos & Spare Parts Korangi Road Bhittai Colony Korangi Creek Karachi Sindh
Asif Autos,Nasir Jump Road,Sector 32 D,Korangi,Karachi,Sindh,Asif Autos Nasir Jump Road Sector 32 D Korangi Karachi Sindh
Ali Autos Exchange Bike Installment,Qabristan Road,Hasrat Mohani Colony,Korangi,Karachi,Sindh,Ali Autos Exchange Bike Installment Qabristan Road Hasrat Mohani Colony Korangi Karachi Sindh
